"id";"code";"creation_date";"last_update_date";"creation_week_day";"last_update_week_day";"latitude";"longitude";"city";"hp";"gnv";"year";"mileage";"doors";"model";"brand";"vehicle_type";"fuel";"gear";"color";"steering";"first_price";"last_price";"olx_average_price";"fipe_price";"price_changes";"accessories"
757;"1311545625";2024-06-09 14:29:00.000;2024-08-08 22:43:20.000;domingo;quinta;-22.8798;-43.4698;Rio de Janeiro;1.0;0;2015;85000.0;4;VOLKSWAGEN GOL CITY (TREND)/TITAN 1.0 T. FLEX 8V 4P;VOLKSWAGEN;Hatch;Flex;Manual;Branco;Hidráulica;32000.0;32000.0;35000;35609;1;Air bag, Alarme, Ar condicionado, Som, Trava elétrica, Vidro elétrico
756;"1311548517";2024-06-09 14:47:00.000;2024-08-08 22:43:19.000;domingo;quinta;-22.7793;-43.3604;São João de Meriti;1.0;0;2019;59000.0;4;FORD KA 1.0 SE/SE PLUS TIVCT FLEX 5P;FORD;Sedã;Flex;Manual;Branco;Elétrica;43900.0;41000.0;43900;47854;3;Air bag, Ar condicionado, Computador de bordo, Conexão USB, Som, Trava elétrica, Vidro elétrico
755;"1311549064";2024-06-09 14:51:00.000;2024-06-18 22:35:35.000;domingo;terça;-22.9057;-43.1771;Rio de Janeiro;1.0;0;2020;28700.0;4;RENAULT KWID OUTSIDER 1.0 FLEX 12V 5P MEC.;RENAULT;Hatch;Flex;Manual;Branco;Elétrica;44500.0;44500.0;45000;46063;1;Air bag, Ar condicionado, Câmera de ré, Computador de bordo, Conexão USB, Trava elétrica, Vidro elétrico
754;"1311551221";2024-06-09 15:01:00.000;2024-08-08 22:43:18.000;domingo;quinta;-22.6349;-43.1206;Magé;1.6;0;2014;100000.0;4;FORD FIESTA SE 1.6 8V FLEX 5P;FORD;Sedã;Flex;Manual;Prata;;32000.0;32000.0;28000;34281;1;Air bag, Alarme, Ar condicionado, Computador de bordo, Conexão USB, Interface bluetooth, Rodas de liga leve, Sensor de ré, Som, Trava elétrica, Vidro elétrico
753;"1311552067";2024-06-09 15:03:00.000;2024-08-08 22:43:18.000;domingo;quinta;-22.756;-42.8732;Itaboraí;;0;2000;290000.0;4;FORD RANGER 2.5 4X4 CD TB DIESEL;FORD;Pick-up;Diesel;Manual;Prata;;35000.0;35000.0;35000;39336;1;Rodas de liga leve, Vidro elétrico
752;"1311553271";2024-06-09 15:13:00.000;2024-08-07 23:18:46.000;domingo;quarta;-21.6774;-41.4553;Campos dos Goytacazes;1.0;0;2020;46000.0;4;HYUNDAI HB20 SENSE 1.0 FLEX 12V MEC;HYUNDAI;Hatch;Flex;Manual;Branco;Elétrica;46990.0;49990.0;54900;56288;4;Air bag, Alarme, Ar condicionado, Computador de bordo, Conexão USB, Interface bluetooth, Rodas de liga leve, Sensor de ré, Som, Trava elétrica, Vidro elétrico, Volante multifuncional
751;"1311553409";2024-06-09 15:14:00.000;2024-06-20 22:23:38.000;domingo;quinta;-22.9668;-43.3853;Rio de Janeiro;1.4;0;2016;98000.0;4;FIAT SIENA EL 1.4 MPI FIRE FLEX 8V 4P;FIAT;Sedã;Flex;Manual;Branco;Hidráulica;34900.0;34900.0;35900;38673;1;Ar condicionado, Vidro elétrico, Volante multifuncional
5962;"1309859043";2024-06-09 15:21:00.000;2024-07-26 20:31:30.000;domingo;sexta;-22.9689;-43.0422;Niterói;1.0;0;2017;89000.0;4;VOLKSWAGEN UP! SPEED 1.0 TSI T. FLEX 12V 5P;VOLKSWAGEN;Hatch;Flex;Manual;Branco;Hidráulica;50000.0;50000.0;55900;57765;1;Air bag, Alarme, Bancos de couro, Conexão USB, Interface bluetooth, Rodas de liga leve, Sensor de ré, Som, Trava elétrica
750;"1311557594";2024-06-09 15:36:00.000;2024-06-22 22:15:12.000;domingo;sábado;-22.9;-43.2333;Rio de Janeiro;1.0;1;2018;72000.0;4;FIAT UNO DRIVE 1.0 FLEX 6V 5P;FIAT;Hatch;Flex;Manual;Prata;Elétrica;38000.0;38000.0;35000;39449;1;Air bag, Ar condicionado, Som, Trava elétrica, Vidro elétrico
749;"1311560078";2024-06-09 15:50:00.000;2024-08-08 22:43:18.000;domingo;quinta;-22.8817;-43.4322;Rio de Janeiro;1.0;0;2020;65000.0;4;RENAULT SANDERO AUTHENTIQUE FLEX 1.0 12V 5P;RENAULT;Hatch;Flex;Manual;Prata;Hidráulica;42900.0;42900.0;40000;45271;1;Air bag, Alarme, Ar condicionado, Conexão USB, Interface bluetooth, Som, Trava elétrica, Vidro elétrico
748;"1287582377";2024-06-09 16:06:00.000;2024-08-27 20:29:35.000;domingo;terça;-21.6774;-41.4553;Campos dos Goytacazes;1.5;0;2018;78000.0;4;FORD KA 1.5 16V FLEX 5P;FORD;Hatch;Flex;Manual;Vermelho;Hidráulica;39600.0;39600.0;41500;43688;1;Alarme, Ar condicionado, Conexão USB, Interface bluetooth, Som, Trava elétrica, Vidro elétrico
746;"1311565579";2024-06-09 16:22:00.000;2024-07-15 21:58:06.000;domingo;segunda;-22.9283;-43.24;Rio de Janeiro;1.0;0;2019;73000.0;4;FORD KA 1.0 SE/SE PLUS TIVCT FLEX 5P;FORD;Hatch;Flex;Manual;Prata;Elétrica;47000.0;47000.0;43900;47854;1;Air bag, Ar condicionado, Computador de bordo, Conexão USB, Interface bluetooth, Sensor de ré, Trava elétrica, Vidro elétrico, Volante multifuncional
745;"1311567495";2024-06-09 16:33:00.000;2024-06-21 21:17:54.000;domingo;sexta;-22.4183;-42.9748;Teresópolis;1.0;0;2021;60000.0;4;FORD KA+ SEDAN 1.0 TIVCT FLEX 4P;FORD;Sedã;Flex;Manual;Cinza;Elétrica;47000.0;47000.0;49900;53219;1;Air bag, Alarme, Ar condicionado, Computador de bordo, Conexão USB, Interface bluetooth, Som, Trava elétrica, Vidro elétrico
743;"1311569369";2024-06-09 16:41:00.000;2024-07-05 22:46:15.000;domingo;sexta;-22.9333;-43.1;Niterói;1.4;0;2014;69000.0;4;CHEVROLET AGILE LTZ 1.4 MPFI 8V FLEXPOWER 5P;CHEVROLET;Hatch;Flex;Manual;Preto;Hidráulica;39900.0;39900.0;36000;37872;1;Air bag, Alarme, Ar condicionado, Computador de bordo, Conexão USB, Controle automático de velocidade, Interface bluetooth, Rodas de liga leve, Trava elétrica, Vidro elétrico, Volante multifuncional
